SKU,Name,Regular Price,Status
6457993,GIGABYTE - AMD Radeon RX 6700 XT GAMING OC 12GB GDDR6 PCI Express 4.0 Gaming Graphics Card,959.99,SoldOut
6474545,XFX - SPEEDSTER MERC308 AMD Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,479.99,SoldOut
6457994,GIGABYTE - AMD Radeon RX 6700 XT EAGLE 12GB GDDR6 PCI Express 4.0 Gaming Graphics Card,889.99,SoldOut
6474679,XFX - SPEEDSTER QICK308 AMD Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,449.99,SoldOut
6457624,XFX - AMD Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Gray/Black,479.99,SoldOut
6462173,MSI - NVIDIA Geforce RTX 3060 Ventus 2X 12G OC - 12GB GDDR6 - PCI Express 4.0 - Graphics Card - Black,489.99,SoldOut
6460664,XFX - Speedster QICK319 AMD Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,849.99,SoldOut
6457619,XFX - Speedster MERC319 AMD Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,899.99,SoldOut
5507806,PNY - NVIDIA GeForce GTX 1060 6GB GDDR5 PCI Express 3.0 Graphics Card - Black,309.99,SoldOut
6405063,ASUS - NVIDIA GeForce GTX 1660 SUPER OC Edition 6GB GDDR6 PCI Express 3.0 Graphics Card - Black/Gray,329.99,SoldOut
6465789,NVIDIA - GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Graphics Card - Dark Platinum and Black,599.99,SoldOut
6412939,EVGA - SUPER SC ULTRA GAMING NVIDIA GeForce GTX 1650 SUPER 4GB GDDR6 PCI Express 3.0 Graphics Card - Black/Silver,239.99,SoldOut
6462956,NVIDIA - GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Graphics Card - Titanium and Black,1199.99,SoldOut
6454329,EVGA - NVIDIA GeForce RTX 3060 XC GAMING 12GB GDDR6 PCI Express 4.0 Graphics Card,409.99,SoldOut
6397797,MSI - AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 Graphics Card - Black/Gray,204.99,SoldOut
6373500,EVGA - SC ULTRA GAMING NVIDIA GeForce GTX 1660 Ti 6GB GDDR6 PCI Express 3.0 Graphics Card - Black/Gray,299.99,SoldOut
6397798,MSI - NVIDIA GeForce GTX 1650 SUPER 4GB GDDR6 PCI Express 3.0 Graphics Card - Black/Gray,279.99,SoldOut
6389333,MSI - GAMING X NVIDIA GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 Graphics Card - Black/Gray,379.99,SoldOut
6439402,NVIDIA GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Graphics Card - Steel and Black,399.99,SoldOut
6429434,NVIDIA GeForce RTX 3090 24GB GDDR6X  PCI Express 4.0 Graphics Card - Titanium and Black,1499.99,SoldOut
6429442,NVIDIA GeForce RTX 3070 8GB GDDR6  PCI Express 4.0  Graphics Card - Dark Platinum and Black,499.99,SoldOut
6429440,NVIDIA GeForce RTX 3080 10GB GDDR6X PCI Express 4.0  Graphics Card - Titanium and Black,699.99,SoldOut
6430277,Microsoft - Xbox Series S 512 GB All-Digital Console (Disc-free Gaming) - White,299.99,SoldOut
6474406,AMD - Ryzen 7 5700G 8-Core - 16-Thread - (4.6 GHz Max Boost) Unlocked Desktop Processor,359.0,Available
6474407,AMD - Ryzen 5 5600G 6-Core - 12-Thread - (4.4 GHz Max Boost) Unlocked Desktop Processor,259.0,Available
6452219,Intel - Core i7-11700 11th Generation - 8 Core - 16 Thread - 2.5 to 4.9 GHz - LGA1200 - Locked Desktop Processor,339.99,Available
6411493,Intel - Core i5-10600K 10th Generation 6-Core - 12-Thread - 4.1 GHz 4.8 GHz Turbo) Socket LGA1200 Unlocked Desktop Processor,229.99,Available
6452222,Intel - Core i9-11900K 11th Generation - 8 Core - 16 Thread - 3.5 to 5.3 GHz - LGA1200 - Unlocked Desktop Processor,549.99,Available
6452221,Intel - Core i7-11700K 11th Generation - 8 Core - 16 Thread - 3.6  to 5.0 GHz - LGA1200 - Unlocked Desktop Processor,419.99,Available
6438941,"AMD - Ryzen 9 5950X 4th Gen 16-core, 32-threads Unlocked Desktop Processor Without Cooler",799.0,Available
6411498,Intel - Core i5-10400 10th Generation 6-Core - 12-Thread - 2.9 GHz (4.3 GHz Turbo) Socket LGA1200 Locked Desktop Processor,164.99,Available
6428160,Core i9-10850K Desktop Processor - 10 Cores up to 5.2 GHz Unlocked  LGA1200 - Intel 400 Series chipset 125W,409.99,Available
6411492,Intel - Core i9-10900K 10th Generation 10-core - 20-Thread - 3.7 GHz (5.3 GHz Turbo) Socket LGA1200 Unlocked Desktop Processor,519.99,Available
6411488,Intel - Core i7-10700K 10th Generation 8-Core - 16-Thread - 3.8 GHz (5.1 GHz Turbo) Socket LGA1200 Unlocked Desktop Processor,349.99,Available
6439000,"AMD - Ryzen 7 5800X 4th Gen 8-core, 16-threads Unlocked Desktop Processor Without Cooler",449.0,Available
6438943,"AMD - Ryzen 5 5600X 4th Gen 6-core, 12-threads Unlocked Desktop Processor With Wraith Stealth Cooler",299.0,Available
6302019,Intel - Core i9-9900K 9th Generation 8-Core - 16-Thread - 3.6 GHz (5.0 GHz Turbo) Socket LGA 1151 Unlocked Desktop Processor,439.99,Available
6302021,Intel - Core i7-9700K 9th Generation 8-Core - 8-Thread 3.6 GHz (4.9 GHz Turbo) Socket LGA 1151 Unlocked Desktop Processor,349.99,Available
6356277,AMD - Ryzen 7 3700X 3rd Generation 8-Core - 16-Thread 3.6 GHz (4.4 GHz Max Boost) Socket AM4 Unlocked Desktop Processor,329.99,Available
6482512,XFX - Speedster SWFT 319 AMD Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,1699.99,SoldOut
6456926,MSI - AMD Radeon RX 6700 XT MECH 2X 12G - 12GB GDDR6 - PCI Express 4.0 - Graphics Card - Black,749.99,SoldOut
6462016,AMD - Ryzen 5 3400G 2nd Generation 4-Core - 8-Thread - 3.7 GHz (4.2 GHz Max Boost) Socket AM4 Unlocked Desktop Processor,160.5,SoldOut
6440913,MSI - AMD Radeon RX 6800 XT 16G - 16GB GDDR6 - PCI Express 4.0 - Graphics Card - Black,649.99,SoldOut
6445157,XFX - Speedster MERC319 AMD Radeon RX 6900 XT Ultra 16GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,1399.99,SoldOut
6453895,GIGABYTE - AMD Radeon RX 6800 XT AORUS MASTER 16GB GDDR6 PCI Express 4.0 Graphics Card,1419.99,SoldOut
6457622,XFX - Speedster QICK319 AMD Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,649.99,SoldOut
6404153,AMD - Ryzen ThreadRipper 3990X 64-core 2.9 GHz Desktop Socket sTRX4 Processor,3990.0,SoldOut
6453267,XFX - Speedster QICK 319 AMD Radeon RX 6800 16GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,1099.99,SoldOut
6453894,GIGABYTE - AMD Radeon RX 6800 AORUS MASTER 16GB GDDR6 PCI Express 4.0 Graphics Card,1249.99,SoldOut
6467289,PNY - GeForce RTX 3080 Ti 12GB XLR8 Gaming REVEL EPIC-X RGB Triple Fan Graphics Card,2049.99,SoldOut
6447182,MSI - AMD Radeon RX 6800 GAMING X TRIO 16G  - 16GB GDDR6 - PCI Express 4.0 - Graphics Card,999.99,SoldOut
6423072,"AMD - Ryzen 3 3100 3rd Gen 4-core, 8-threads Unlocked Desktop Processor with Wraith Stealth",99.0,SoldOut
6442585,XFX - Merc 319 AMD Radeon™ RX 6800XT 16GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,1049.99,SoldOut
6457620,XFX - Speedster QICK319 AMD Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,599.99,SoldOut
6457626,XFX - Speedster SWFT309 AMD Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,679.99,SoldOut
6442077,XFX - AMD Radeon™ RX 6800 16GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,579.99,SoldOut
6290681,EVGA - GeForce RTX 2080 XC GAMING 8GB GDDR6 PCI Express 3.0 Graphics Card with Dual HDB Fans & RGB LED,799.99,SoldOut
6430143,MSI - AMD Radeon RX 5600 XT MECH OC 6GB GDDR6 PCI Express 4.0 Graphics card - Black,304.99,SoldOut
6453896,GIGABYTE - AMD Radeon RX 6800 XT GAMING OC 16GB GDDR6 PCI Express 4.0 Graphics Card,1319.99,SoldOut
6441020,MSI - AMD Radeon RX 6800 16G - 16GB GDDR6 - PCI Express 4.0 - Graphics Card Black - Black,579.99,SoldOut
6411497,Intel - Core i3-10100 10th Generation 4-Core - 8-Thread - 3.6 GHz (4.3 GHz Turbo) Socket LGA1200 Locked Processor,114.99,SoldOut
6444357,XFX - Speedster MERC319 AMD Radeon™ RX 6800 16GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,899.99,SoldOut
6444716,MSI - AMD Radeon RX 6900 XT 16G - GDDR6 - PCI Express 4.0 - Graphics Card -Black/Silver,999.99,SoldOut
6453268,XFX - Speedster MERC319 AMD Radeon RX 6800 XT CORE 16GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,1349.99,SoldOut
6452220,Intel - Core i5-11600K 11th Generation - 6 Core - 12 Thread - 3.9 to 4.9 GHz - LGA1200 - Unlocked Desktop Processor,269.99,SoldOut
6452218,Intel - Core i5-11400 11th Generation - 6 Core - 12 Thread - 2.6 to 4.4 GHz - LGA1200 - Locked Desktop Processor,189.99,SoldOut
6391901,AMD - Ryzen 9 3950X 3rd Generation 16-core - 32-Thread - 3.5 GHz (4.7 GHz Max Boost) Socket AM4 Unlocked Desktop Processor,749.0,SoldOut
6411495,Intel - Core i7-10700 10th Generation 8-Core - 16-Thread 2.9 GHz (4.8 GHz Turbo) Socket LGA1200 Locked Desktop Processor,289.99,SoldOut
6202343,XFX - AMD Radeon RX 570 RS Black Edition 8GB GDDR5 PCI Express 3.0 Graphics Card - Black/Red,419.99,SoldOut
6438942,"AMD - Ryzen 9 5900X 4th Gen 12-core, 24-threads Unlocked Desktop Processor Without Cooler",549.0,SoldOut
6407305,PNY - XLR8 Gaming Single Fan NVIDIA GeForce GTX 1650 SUPER Overclocked Edition 4GB GDDR6 PCI Express 3.0 Graphics Card - Black,219.99,SoldOut
6374966,MSI - MECH OC AMD Radeon RX 5700 XT 8GB GDDR6 PCI Express 4.0 Graphics Card - Black,569.99,SoldOut
6356279,AMD - Ryzen 3 3200G 2nd Generation 4-Core - 4-Thread - 3.6 GHz (4.0 GHz Max Boost) Socket AM4 Unlocked Desktop Processor,99.99,SoldOut
6398005,XFX - AMD Radeon RX 5600 XT RAW II PRO 6GB GDDR6 PCI Express 4.0 Graphics Card,479.99,SoldOut
6395411,XFX - THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 Graphics Card - Black,379.99,SoldOut
6356636,AMD - Ryzen 7 3800X 3rd Generation 8-Core - 16-Thread - 3.9 GHz (4.5 GHz Max boost) Socket AM4 Unlocked Desktop Processor,399.99,SoldOut
6356274,AMD - Ryzen 9 3900X 3rd Generation 12-core - 24-Thread - 3.8 GHz (4.6 GHz Max Boost) Socket AM4 Unlocked Desktop Processor,499.99,SoldOut
6330461,MSI - GeForce GTX 1660 Ti Gaming X 6GB GDDR6 PCI Express 3.0 Graphics Card,399.99,SoldOut
6375963,XFX - AMD Radeon RX 5700 XT RAW II 8GB GDDR6 PCI Express 4.0 Graphics Card with Zero dB - Black,599.99,SoldOut
6092641,XFX - AMD Radeon RX 580 GTS Black Edition 8GB GDDR5 PCI Express 3.0 Graphics Card - Black,449.99,SoldOut
6356278,AMD - Ryzen 5 3600 3rd Generation 6-Core - 12-Thread - 3.6 GHz (4.2 GHz Max Boost) Socket AM4 Unlocked Desktop Processor,199.99,SoldOut
